country,GDP,solar_usage,wind_usage
Argentina,829373284352.0,0.286,3.738
Australia,1238559621120.0,32.629,43.025
Austria,382269456384.0,3.85,15.955
Belgium,454384320512.0,10.327,20.032
Brazil,2965401501696.0,9.158,128.252
Canada,1669401542656.0,10.046,87.691
China,18151620214784.0,468.029,967.807
Colombia,651900551168.0,0.032,0.115
Finland,214535733248.0,0.241,15.604
France,2581673803776.0,27.546,75.485
Germany,3885961314304.0,114.981,290.9
India,8835757506560.0,96.123,159.567
Indonesia,3075456106496.0,0.239,0.503
Italy,2077209133056.0,59.936,46.873
Mexico,2006599729152.0,8.413,34.629
Netherlands,818056003584.0,9.814,27.908
Poland,1053479337984.0,0.794,33.863
Portugal,276343586816.0,2.659,33.381
South Korea,1958392102912.0,26.867,6.521
Spain,1492300201984.0,33.717,134.657
Sweden,463407448064.0,1.034,43.98
Thailand,1124031922176.0,12.004,4.342
United Kingdom,2540210225152.0,33.517,150.562
United States,18140645818368.0,249.513,728.691
